asset,scenario_name,target_qty,policy_name,n_episodes,mean_episode_return,mean_steps_used,mean_filled_total,mean_remaining_qty,mean_completion,completion_rate_100pct,mean_true_is_bps,std_true_is_bps,median_true_is_bps,p90_true_is_bps,p95_true_is_bps,p99_true_is_bps,mean_env_cost_bps,std_env_cost_bps
BTC,btc_q10,10.0,TWAP,10,-6.618483990769727e-07,4320.0,10.000000000000004,0.0,1.0000000000000004,1.0,-15.726714197166354,36.38283990102743,-6.397876805508753,18.657633179520452,24.39577548420656,28.98628932795547,0.006618483990769736,0.0010612090506554905
BTC,btc_q10,10.0,BTC_RL2_1,10,-1.7520620657167426e-06,252.8,9.999999999999279,7.19933412098467e-13,0.9999999999999277,1.0,-1.8262514855675582,8.852087469073679,-0.9753918820497953,6.635657590350592,8.966634846276852,10.831416651017872,0.017520620657167425,0.012903324156400713
BTC,btc_q25,25.0,TWAP,10,-7.22903733297651e-07,4320.0,24.999999999999993,0.0,0.9999999999999997,1.0,-13.374207607695883,61.68907302195151,-2.4016709821498425,35.73268576607039,67.78657595403627,93.42968810440911,0.007229037332976519,0.0008964300835190111
BTC,btc_q25,25.0,BTC_RL2_1,10,-2.0439252639324425e-06,645.5,24.99999999999919,8.226948608396373e-13,0.9999999999999675,1.0,-9.856334305248746,14.45482729460556,-7.8549170295674395,7.831057280699976,9.571086065580003,10.963109093484032,0.02043925263932444,0.01217772261604966
BTC,btc_q50,50.0,TWAP,10,-1.0627773178561246e-06,4320.0,50.000000000000014,0.0,1.0000000000000002,1.0,-12.924313431781565,36.90975409321159,1.7638372311252286,19.62959676743972,26.51630026999374,32.02566307203698,0.010627773178561246,0.00491784198356304
BTC,btc_q50,50.0,BTC_RL2_1,10,-2.0350917852646584e-06,1283.2,49.99999999999923,7.694046161727957e-13,0.9999999999999846,1.0,-3.6375653317760817,26.771780824902383,1.8076392240630752,21.748087071747328,24.532706769973714,26.76040252855483,0.02035091785264659,0.010843751340523088
BTC,btc_q100,100.0,TWAP,10,-2.4263458544136287e-06,4320.0,98.80193051985468,1.1980694801453837,0.9880193051985471,0.8,-79.48343170892382,164.5151404293426,-2.7065150879378086,18.532103149434377,24.331899193456245,28.97173602867376,0.024263458544136245,0.01901893550986212
BTC,btc_q100,100.0,BTC_RL2_1,10,-6.250164607836002e-06,2550.4,99.99999999999919,7.904426506677725e-13,0.9999999999999922,1.0,-47.80073544805204,97.37936436371253,-0.5145583710714545,15.314611642173201,16.444107752990515,17.34770464164437,0.06250164607836012,0.0891945282461095
BTC,btc_q200,200.0,TWAP,10,-2.005806122912832e-06,4320.0,160.13175723224282,39.86824276775742,0.800658786161214,0.1,-4.302839431636258,35.7646357914537,-6.309381240753056,37.345322795528425,53.40103780746447,66.24560981701337,0.020058061229128375,0.010084753218079416
BTC,btc_q200,200.0,BTC_RL2_1,10,-2.1829358768423124e-06,4256.9,162.560617715,37.43938228500026,0.812803088575,0.1,-2.4449214958456835,39.192893802785704,-6.119828312389163,38.889997141944534,62.00359694667138,80.49447679045295,0.02182935876842318,0.012712478000294894
