iter,run_name,symbol,preset,base_ckpt,base_run_name,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,val_n_trials,val_episodes_per_trial,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,target_kl,seed,val_seed,rollout_trials,episodes_per_trial,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
11,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,466828,-3.851656229314237e-06,1823.546875,-0.007204657550569031,-0.0027839619792604142,4.064203718424952e-06,0.8845455518267771,0.0044396836420806255,0.048419431379187215,0.28796208214875263,0.022124881969313785,0.9999999999999845,-2.212488196931344e-06,50,4,355.48972511291504,0.02107274085127547,7,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
12,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,445381,-3.965951022890938e-06,1739.76953125,-0.007254558184797691,-0.0028487649875232556,3.8032252726677043e-06,0.8815389792474713,0.004927097705849759,0.05172359919122867,0.3048334394460643,0.020951414749611205,0.9999999999999848,-2.0951414749610884e-06,50,4,342.20064401626587,0.020951414749611205,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
13,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,472530,-3.5674405520339652e-06,1845.8203125,0.000470508505740884,0.004824634565076626,7.679181783337681e-06,0.8715931492134216,0.005131549439509665,0.046397920497449154,0.35027085821693743,0.021443675645876487,0.9999999999999847,-2.1443675645876154e-06,50,4,310.4346387386322,0.020951414749611205,1,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
14,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,435207,-4.03718640874387e-06,1700.02734375,-0.002672579485566506,0.0016120533621095366,4.9670554925655675e-06,0.8574232965806137,0.005133178014406211,0.04972535766685757,0.32761595416383776,0.021031513562392884,0.9999999999999842,-2.103151356239255e-06,50,4,309.81520223617554,0.020951414749611205,2,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
15,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,445154,-3.89427271278538e-06,1738.8828125,-0.002634931193697296,0.0016374751512326132,4.288565760619025e-06,0.854910144475615,0.004179642796285192,0.04187049020721672,0.30773050984616873,0.02312829858159872,0.9999999999999847,-2.312829858159836e-06,50,4,310.690899848938,0.020951414749611205,3,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
16,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,434605,-3.680402515028213e-06,1697.67578125,-0.002299908122019355,0.0019612244468926875,3.202656867768787e-06,0.852546798238574,0.005427565078794349,0.04793700948086849,0.32670441509202813,0.02270938132865644,0.9999999999999843,-2.2709381328656088e-06,50,4,308.29515171051025,0.020951414749611205,4,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
17,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,462021,-3.6788278795040175e-06,1804.76953125,-0.0005572729924327466,0.0036902914871988295,5.712509608556162e-06,0.8500841662593285,0.004682626333466138,0.04300917577070372,0.33137135024309444,0.020780274364612064,0.9999999999999849,-2.078027436461175e-06,50,4,312.0856330394745,0.020780274364612064,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
18,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,471305,-3.6113372560630913e-06,1841.03515625,-0.0016328141872966012,0.0026626541141689984,6.135064146546092e-07,0.8591550291970719,0.0034805914917067343,0.03282794543476992,0.3313902041939802,0.021622335478506793,0.9999999999999847,-2.1622335478506465e-06,50,4,308.9748389720917,0.020780274364612064,1,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
19,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,441277,-3.889147871726526e-06,1723.73828125,-0.001381305445936489,0.0028855963815378623,6.279357323207408e-07,0.8534431808478349,0.004071546344259929,0.03888415994930205,0.31783411863383715,0.021985468415862904,0.9999999999999843,-2.1985468415862563e-06,50,4,301.3771471977234,0.020780274364612064,2,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
20,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,467658,-3.6808577053544807e-06,1826.7890625,-0.0037862292581754514,0.0004996768387289072,2.0286351033493917e-06,0.8573841010801536,0.005376033044233917,0.044053193132411565,0.30153218017994476,0.023005305334209983,0.9999999999999848,-2.3005305334209635e-06,50,4,324.5928280353546,0.020780274364612064,3,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
