asset,scenario_name,target_qty,policy_name,n_episodes,mean_completion,completion_rate_100pct,mean_true_is_bps,std_true_is_bps,median_true_is_bps,p90_true_is_bps,p95_true_is_bps,p99_true_is_bps,mean_env_is_bps
BTC,btc_q10,10.0,TWAP,10,0.9643335959096149,0.6,-16.54448540065939,42.02238609327573,-9.540259834741189,26.66455746335543,34.01660096275134,39.8982357622681,0.00704133187156694
BTC,btc_q10,10.0,BTC_PPO_2,10,0.9999999999999207,1.0,-1.827485169506535,8.850203576797771,-0.9754901883288336,6.630782200698895,8.956400680028242,10.816895463491727,0.01738917361114948
BTC,btc_q10,10.0,BTC_PPO_1,10,0.9999999999999194,1.0,-1.8252873922419834,8.85012452374371,-0.9756561150910733,6.635191199566998,8.965374604041072,10.82952132762034,0.01747520767785129
BTC,btc_q10,10.0,BTC_PPO_3,10,0.9999999999999207,1.0,-1.8214990327596194,8.855637737583908,-0.9760807051449563,6.633972696684703,8.979020044812918,10.855057923315501,0.01748005633429585
BTC,btc_q25,25.0,TWAP,10,0.9262847915953525,0.4,-16.259355997986127,64.51631983053116,-5.4762002140763535,31.80645955985642,65.13072939789106,91.7901452683189,0.00983579126754731
BTC,btc_q25,25.0,BTC_PPO_2,10,0.9999999999999674,1.0,-9.857335782077765,14.462397534042548,-7.857524321017699,7.836521046587006,9.573960564069617,10.963912178055711,0.020396256444542522
BTC,btc_q25,25.0,BTC_PPO_1,10,0.9999999999999705,1.0,-9.856945484388131,14.45855546232452,-7.8559077430386015,7.835342263533402,9.573280415286487,10.963630936688961,0.02046125795433337
BTC,btc_q25,25.0,BTC_PPO_3,10,0.9999999999999671,1.0,-9.85575262980655,14.459494951762341,-7.853879095725465,7.8400434946502955,9.57560395069239,10.964052315526072,0.02052564354678184
BTC,btc_q50,50.0,TWAP,10,0.8515726388993192,0.2,-16.300464719918097,41.64758038858453,1.7110055122313623,20.580851696754717,29.804104646467223,37.182707006237266,0.011274710818063558
BTC,btc_q50,50.0,BTC_PPO_2,10,0.9999999999999831,1.0,-3.6419480651051,26.78278503136534,1.8078258438879151,21.750241826552013,24.536161357472288,26.764896982208516,0.020292171561573806
BTC,btc_q50,50.0,BTC_PPO_3,10,0.9999999999999837,1.0,-3.6414005265214784,26.78241320899016,1.8076240124362497,21.749096872431657,24.535936991561783,26.765409086865898,0.020359235757756167
BTC,btc_q50,50.0,BTC_PPO_1,10,0.9999999999999851,1.0,-3.6380706150502435,26.77448923486538,1.8076538881762723,21.74963565242322,24.535959711992668,26.76501895964824,0.020365192280111945
BTC,btc_q100,100.0,TWAP,10,0.6784328925141371,0.0,-79.49646810613295,165.7472059469004,-3.791797783985979,22.11382552603581,30.094462586957945,36.47897223569568,0.017721908574996448
BTC,btc_q100,100.0,BTC_PPO_2,10,0.9999999999999917,1.0,-47.80032450384847,97.37857201215402,-0.5149281654900979,15.314974488744975,16.44402125013303,17.347258659243476,0.06242742461067571
BTC,btc_q100,100.0,BTC_PPO_1,10,0.9999999999999918,1.0,-47.79999320575752,97.3779018569053,-0.514982021749682,15.314501928153685,16.444401457868523,17.348321081640393,0.06247990924111581
BTC,btc_q100,100.0,BTC_PPO_3,10,0.999999999999992,1.0,-47.79908145866621,97.37734801083694,-0.5146991445781235,15.31431650063896,16.44419913743109,17.3481052468648,0.06250828354171449
BTC,btc_q200,200.0,TWAP,10,0.5410543757961144,0.0,-9.254176076932016,36.42337083616046,-12.582660983212225,38.849354025967116,47.215868705660775,53.90908044941574,0.01140335245588154
BTC,btc_q200,200.0,BTC_PPO_3,10,0.812803088575,0.1,-2.446070556289828,39.19004147488548,-6.119828312389163,38.88884808150054,61.997277114229455,80.48402034041267,0.021820788517187457
BTC,btc_q200,200.0,BTC_PPO_2,10,0.812803088575,0.1,-2.445986203418336,39.19025086073345,-6.119828312389163,38.88893243437204,61.99774105502266,80.48478795154325,0.02182088372342202
BTC,btc_q200,200.0,BTC_PPO_1,10,0.812803088575,0.1,-2.445763845737838,39.19080281388427,-6.119828312389163,38.88915479205254,61.9989640222654,80.48681140643578,0.02181390770620672
