asset,scenario_name,target_qty,policy_name,n_episodes,mean_episode_return,mean_steps_used,mean_filled_total,mean_remaining_qty,mean_completion,completion_rate_100pct,mean_true_is_bps,std_true_is_bps,median_true_is_bps,p90_true_is_bps,p95_true_is_bps,p99_true_is_bps,mean_env_cost_bps,std_env_cost_bps
DOGE,doge_q500000,500000.0,TWAP,10,-5.166441384324068e-05,4320.0,500000.00000000035,0.0,1.0000000000000009,1.0,-30.115358696668267,88.96601419535317,-1.12537149966653,28.4525442105288,52.69826916977731,72.09484913717623,0.5166441384324066,0.12847019308887378
DOGE,doge_q500000,500000.0,DOGE_PPO_3,10,-7.579120416679857e-05,285.8,500000.0,7.335040000982195e-13,1.0,1.0,0.318120332886431,20.653080609241613,-3.2159273817432075,21.344440903551273,34.518922367007015,45.05850753777166,0.7579120416679854,0.2321217625045449
DOGE,doge_q500000,500000.0,DOGE_PPO_1,10,-7.580166412152863e-05,288.7,500000.0000000001,7.262309582767452e-13,1.0,1.0,0.3184321320845715,20.65269702903804,-3.2158855107984383,21.34455050689783,34.518668055357054,45.057962094124484,0.7580166412152863,0.23223919655577072
DOGE,doge_q500000,500000.0,DOGE_PPO_2,10,-7.581261202247068e-05,282.2,500000.0000000001,7.023545289234953e-13,1.0000000000000004,1.0,0.31859820421703766,20.65281690379046,-3.215679794865237,21.34505724140673,34.51882537022706,45.057839873283385,0.7581261202247067,0.23216436060924256
DOGE,doge_q1e+06,1000000.0,TWAP,10,-5.9282943220804744e-05,4320.0,1000000.0000000016,0.0,1.0000000000000018,1.0,-38.09344635823431,93.82723040071646,-44.045335751991026,44.69300095213373,92.47484837041182,130.70032630503448,0.5928294322080472,0.15281515122184142
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_3,10,-8.389763821934189e-05,573.0,999999.9999999997,8.072661367671595e-13,0.9999999999999997,1.0,-14.956105659096323,22.78841828978234,-10.093076622793799,5.8709318265498025,9.257518829621525,11.966788432078918,0.8389763821934204,0.20937191704897307
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_2,10,-8.389940524554322e-05,573.0,999999.9999999998,7.613507551542367e-13,0.9999999999999998,1.0,-14.95597120235442,22.788570488220568,-10.092795382808884,5.871186149065328,9.257900470226227,11.96727192715496,0.838994052455433,0.2093410381698463
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_1,10,-8.388991685938116e-05,580.1,999999.9999999997,7.414438700220694e-13,0.9999999999999997,1.0,-14.955834868979043,22.788543676723943,-10.093217087261054,5.8710294768658,9.257646951246642,11.966940930751331,0.8388991685938129,0.20926974184078267
DOGE,doge_q3e+06,3000000.0,TWAP,10,-6.63736991030579e-05,4320.0,2999999.9999999967,0.0,0.9999999999999988,1.0,-56.9103254375623,84.98443330617327,-32.29447092068477,23.82671121121599,38.945917997024516,51.041283425671395,0.663736991030579,0.19774425264297496
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_1,10,-7.80033945941344e-05,1558.3,2999999.999999998,7.242213478589421e-13,0.9999999999999994,1.0,-26.060164804360785,43.96923283124105,-7.469163680214589,13.906265981739786,18.767354169499306,22.656224719706945,0.7800339459413408,0.12607958201343153
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_2,10,-7.800552670878032e-05,1552.4,2999999.999999998,7.346480608933809e-13,0.9999999999999994,1.0,-26.05990297350643,43.969112497661705,-7.4686621797531885,13.906259253208052,18.76734485134527,22.656213329855063,0.7800552670878004,0.1260539894703757
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_3,10,-7.800273210563849e-05,1553.0,2999999.9999999986,7.773886004806508e-13,0.9999999999999994,1.0,-26.059697623242887,43.96891280667994,-7.468335797316156,13.906249887661236,18.767340777736212,22.656213489796215,0.780027321056382,0.12606323460534577
DOGE,doge_q6e+06,6000000.0,TWAP,10,-8.688280719497326e-05,4320.0,6000000.000000001,0.0,1.0000000000000002,1.0,-93.15052208448537,207.26384782287252,7.928642204749568,32.45612127714958,32.636208152524844,32.78027765282506,0.8688280719497324,0.3148708362539755
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_1,10,-9.953946005675832e-05,2771.7,6000000.0,7.798303621778888e-13,1.0,1.0,-92.73109665955897,194.8053950538311,-1.4389923493838284,19.761010444284782,20.156161536096377,20.472282409545652,0.9953946005675854,0.43074425676349254
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_3,10,-9.954063151320939e-05,2766.2,5999999.999999999,7.501546673846542e-13,1.0,1.0,-92.73108144723051,194.80550348736594,-1.43861559635265,19.76083981244966,20.156075663854743,20.47226434497881,0.9954063151320964,0.4307294061700658
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_2,10,-9.954098842305838e-05,2765.6,6000000.000000002,8.346955279295769e-13,1.0,1.0,-92.73099868973284,194.80553607885562,-1.4383999207173095,19.76116766201699,20.156244162395907,20.472305362699043,0.9954098842305859,0.4307245501896607
DOGE,doge_q1p2e+07,12000000.0,TWAP,10,-7.97682177402051e-05,4320.0,9607542.753886605,2392457.246113395,0.8006285628238837,0.0,-8.212243584105726,49.6981416339292,-19.782379153683763,33.55770513597143,68.0650064119933,95.67084743281094,0.7976821774020489,0.18541078084473203
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_1,10,-7.978075514806879e-05,4320.0,9609558.358,2390441.642000002,0.8007965298333332,0.0,-8.208588538598809,49.693929822745474,-19.774679251217623,33.55619611255797,68.06425190028656,95.6706965304696,0.7978075514806859,0.18540759416816965
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_2,10,-7.978075514806879e-05,4320.0,9609558.358,2390441.642000002,0.8007965298333332,0.0,-8.208588538598809,49.693929822745474,-19.774679251217623,33.55619611255797,68.06425190028656,95.6706965304696,0.7978075514806859,0.18540759416816965
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_3,10,-7.978075514806879e-05,4320.0,9609558.358,2390441.642000002,0.8007965298333332,0.0,-8.208588538598809,49.693929822745474,-19.774679251217623,33.55619611255797,68.06425190028656,95.6706965304696,0.7978075514806859,0.18540759416816965
