run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
DOGE_lr0.0003_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984469146214696,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.05,0.999,4320,0.95,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.0003_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984470658553698,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.05,0.999,4320,0.95,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984473990113233,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.01,0.999,4320,0.95,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984482890296464,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.95,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984496012002367,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.01,0.999,4320,0.95,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.0003_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984540736274375,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.005,0.999,4320,0.95,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.798465416015221,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.05,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984658380525453,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.005,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984662494014333,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984694045107603,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.05,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984760809571597,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984783036560836,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.005,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984809959464022,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984947562172703,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7985015675501907,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.05,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.798506615137058,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7985149332739273,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.1,0.05,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7985233553265751,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
