iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
11,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15222,-6.804043372222833e-05,59.4609375,-0.05139078447329146,0.0028155780679309126,5.5267196590388524e-05,1.0846799118178232,0.0023986509951977116,0.1086293582671455,1.1978265520717417,0.7521415725751491,1.0,-7.52141572575149e-05,19.33467388153076,0.7050457722772492,5,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
12,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15043,-6.999878208695931e-05,58.76171875,-0.053659430731620106,0.0017077873863171928,4.9677578655454064e-05,1.107841125556401,0.0028787891190516644,0.09849328793851393,1.0800765724054404,0.7412013698820757,1.0,-7.412013698820756e-05,19.02307391166687,0.7050457722772492,6,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
13,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14891,-6.931305472946956e-05,58.16796875,-0.054106243061167854,0.002593490977707794,6.390941478977246e-05,1.1346337633473533,0.0038592311823890985,0.11265390717557498,1.0771578574819225,0.712146732837562,1.0,-7.121467328375618e-05,19.569581985473633,0.7050457722772492,7,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
14,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14831,-6.706034192859173e-05,57.93359375,-0.05583560245909861,0.002322071663229641,5.078248463438026e-05,1.1636612968785423,0.002507919463404232,0.0997169722603368,0.9090346775949001,0.7369438648293558,1.0,-7.369438648293557e-05,19.421504974365234,0.7050457722772492,8,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
15,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15012,-7.132617629877361e-05,58.640625,-0.05751835685223341,0.0013259323037893456,4.21037357487616e-05,1.1773068070411683,0.0015466939425244368,0.06402178275166079,0.74660878436906,0.7399265608424348,1.0,-7.399265608424348e-05,19.1090829372406,0.7050457722772492,9,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
16,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14952,-6.604082800230475e-05,58.40625,-0.05795417891017028,0.0019217075148595419,4.188768074787471e-05,1.1979365936347417,0.002803307491990857,0.08885477283703429,0.8533568021974394,0.7055642531462338,1.0,-7.055642531462338e-05,19.502787113189697,0.7050457722772492,10,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
17,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14968,-6.690021249777534e-05,58.46875,-0.06074426863342523,0.0003095678048389188,2.7878301924439646e-05,1.221355496134077,0.002412534726678122,0.0735683938987287,0.7026976729077953,0.755656209006645,1.0,-7.55656209006645e-05,19.647323846817017,0.7050457722772492,11,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
18,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15185,-6.63221814892657e-05,59.31640625,-0.0611436255010111,0.0007493864740167159,2.756561422886859e-05,1.238135884489332,0.0008916406380848451,0.05681236229969987,0.9160575909273965,0.7445163840444899,1.0,-7.445163840444898e-05,19.46493911743164,0.7050457722772492,12,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
19,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15093,-6.495244792742255e-05,58.95703125,-0.06198051414038572,0.0010513446375535812,3.24433671102674e-05,1.2609615855746799,0.002208432783145272,0.07944841260582002,0.6698874489973403,0.7058039080049432,1.0,-7.05803908004943e-05,19.37162184715271,0.7050457722772492,13,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
20,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15167,-6.928351683843809e-05,59.24609375,-0.06301643909620387,0.0009989903282777443,3.133098919404022e-05,1.2806218692234583,0.0018134060582642648,0.05783243813951101,0.5565503097006252,0.730895863296037,1.0,-7.308958632960367e-05,19.42418622970581,0.7050457722772492,14,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
