iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
11,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24731,-7.526171587146668e-05,1545.6875,-0.0045215003239941235,1.0887539358417579e-05,0.00011342853868343958,0.9178204442165336,0.0029528335200100218,0.03175625059877199,0.6622239219747028,0.8274097183465108,1.0,-8.27409718346512e-05,157.00820589065552,0.7983410061687636,1,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
12,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24698,-7.834964665465446e-05,1543.625,-0.004450478219208593,5.064696255876512e-05,0.0001251315502022222,0.9127382046105911,0.0034500649447051857,0.02682986925950046,1.0945962332949346,0.8158485020489056,1.0,-8.158485020489073e-05,157.00728392601013,0.7983410061687636,2,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
13,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27962,-7.816463756103754e-05,1747.625,-0.004223686276542905,0.00024146084148301988,0.00018734628658995987,0.9117640768226825,0.003385800940572823,0.032631844875255694,0.8978249918473394,0.819980054384059,0.9999999999999997,-8.199800543840604e-05,154.9136927127838,0.7983410061687636,3,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
14,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26268,-7.247100164977659e-05,1641.75,-0.0042816193788038455,0.00023947118867962512,0.0001264699802531515,0.9168651345021585,0.003971846852437011,0.038091152796850485,0.6279193025958889,0.8309425277516661,1.0,-8.309425277516678e-05,153.39056515693665,0.7983410061687636,4,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
15,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26731,-6.647519696083245e-05,1670.6875,-0.004524948240152367,1.2800298699798043e-05,0.00011970609706760063,0.919520341843929,0.0031314777816593086,0.028812316448410164,0.5857130752278948,0.8258902205578853,1.0,-8.258902205578872e-05,156.5203399658203,0.7983410061687636,5,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
16,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27001,-7.280682129414412e-05,1687.5625,-0.00488177192272377,-0.0003652922732696832,0.00012753922267923676,0.9160498686962657,0.003195423594857048,0.029734926945012476,0.8393423688356523,0.8097252388637284,1.0,-8.097252388637303e-05,156.77168798446655,0.7983410061687636,6,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
17,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,28513,-7.353010157637732e-05,1782.0625,-0.005138705641831876,-0.0006183949182278619,6.638984268647619e-05,0.9107011459898531,0.0027953619766074617,0.027018262559482663,0.9717403491795585,0.8427359372682889,1.0,-8.42735937268291e-05,157.63032293319702,0.7983410061687636,7,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
18,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24138,-7.863462063345257e-05,1508.625,-0.005069752274721395,-0.0005439169272752528,4.0268307600399567e-05,0.9091939187298218,0.0022566444626666757,0.022832086415291997,0.6470449501648545,0.8439965322417946,1.0,-8.439965322417961e-05,157.3664231300354,0.7983410061687636,8,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
19,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24070,-7.59260453021766e-05,1504.375,-0.005170463292112497,-0.0006787546678879153,4.219005775022803e-05,0.9025607531269392,0.002004619011984232,0.01969032052147668,0.8511197812234362,0.830434584145173,0.9999999999999997,-8.304345841451746e-05,159.09892988204956,0.7983410061687636,9,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
20,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26074,-8.271388460012067e-05,1629.625,-0.0051571960334863085,-0.0006916930035283888,4.8737693165234166e-05,0.8979743951215193,0.001831821888126447,0.02115782398882752,0.8208209501149563,0.8211878191822737,1.0,-8.211878191822756e-05,158.60004782676697,0.7983410061687636,10,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
21,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,28929,-7.594751723418397e-05,1808.0625,-0.004830006952598241,-0.0003552787821749446,5.4642528123716555e-05,0.9004099055610854,0.0031091224911255393,0.025584990723692844,0.9304628133902262,0.8104924103529094,1.0,-8.104924103529114e-05,156.45860195159912,0.7983410061687636,11,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
22,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,25937,-7.644381741233526e-05,1621.0625,-0.004788722676144412,-0.00031423368782513157,4.78367629564393e-05,0.89968149507275,0.0019131246017138124,0.01771774481256636,1.0476585045958369,0.8394854113186682,1.0,-8.394854113186703e-05,158.2780158519745,0.7983410061687636,12,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
23,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,29101,-8.063741251291785e-05,1818.8125,-0.004378470335284184,0.000122587598534888,3.962176375070753e-05,0.9041737852425411,0.002736870464701915,0.026865623911425215,1.1061510787313353,0.833416287644009,1.0,-8.334162876440109e-05,160.7260217666626,0.7983410061687636,13,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
24,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,28383,-7.272154506831633e-05,1773.9375,-0.004831692046926557,-0.0003246165824667254,3.0854465957678e-05,0.9045005581740823,0.002360713035419134,0.023444183338142466,0.7736609428455787,0.8194854746759427,1.0,-8.19485474675944e-05,155.1757471561432,0.7983410061687636,14,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
25,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24977,-7.321587578258568e-05,1561.0625,-0.005283724869368598,-0.0007790942781866761,2.9907860816820176e-05,0.9039169231057167,0.00238238337013172,0.025187147634569557,0.9186974047496915,0.8326700080188529,0.9999999999999999,-8.326700080188551e-05,156.57010793685913,0.7983410061687636,15,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
26,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,24708,-6.543952521067939e-05,1544.25,-0.005347358640188313,-0.0008380487067298181,2.6017057567811688e-05,0.9044637123540956,0.0020171585537049077,0.01523435795418348,0.781306493305126,0.8256793405716806,1.0,-8.256793405716822e-05,156.92418575286865,0.7983410061687636,16,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
27,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27400,-6.662880642588009e-05,1712.5,-0.004922354420308362,-0.000415790030423192,3.133721244342847e-05,0.9044466219165108,0.0025042455271018713,0.022723369165958667,0.7522272443758663,0.8204750022995316,1.0,-8.204750022995335e-05,156.63488221168518,0.7983410061687636,17,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
28,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27885,-7.280033627029403e-05,1742.8125,-0.005251923226751387,-0.000772906130285784,3.0776731770337005e-05,0.8988811099635703,0.0030952621014616205,0.02638750888373969,0.6497731238404023,0.8340151694699578,0.9999999999999999,-8.340151694699599e-05,158.74539494514465,0.7983410061687636,18,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
29,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26500,-7.795346335050864e-05,1656.25,-0.0048780725919641554,-0.0004401484957098838,4.175865223140067e-05,0.8917607060580883,0.00271739334613881,0.024769738479078096,0.83241640720165,0.8255376669990315,1.0,-8.255376669990332e-05,155.42279314994812,0.7983410061687636,19,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
30,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26322,-7.458114826997331e-05,1645.125,-0.004848558340409699,-0.00041424033397473835,4.115194365812595e-05,0.8909788117385827,0.0022188317669553305,0.020507595824221007,0.7722859447105572,0.8261919355569348,0.9999999999999999,-8.261919355569361e-05,157.27233409881592,0.7983410061687636,20,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
