run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed1,0.020848762745408957,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed1.csv,16,32,0.2,0.005,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2,0.020850982971055355,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2.csv,16,32,0.1,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2,0.02085229660698431,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2.csv,16,32,0.1,0.01,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed2,0.020853532828482832,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed2.csv,16,32,0.2,0.005,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed1,0.020858496368312954,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed1.csv,16,32,0.2,0.005,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2,0.02085958495585927,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2.csv,16,32,0.2,0.01,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,0.020860584761741668,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2.csv,16,32,0.2,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020861830157508005,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed2,0.02086184592758557,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed2.csv,16,32,0.2,0.005,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2,0.020863512114872737,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2.csv,16,32,0.2,0.01,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1,0.020864849921715747,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1.csv,16,32,0.1,0.01,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1,0.020866496525809863,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1.csv,16,32,0.2,0.01,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.020869660765703072,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.005,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020870724427176704,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1,0.02087428378317977,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed1.csv,16,32,0.1,0.01,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.020875702381866156,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
