run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020854746117617645,checkpoints/BTC/BTC_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.01,0.999,4320,0.95,0.0001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.02085624933271881,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.0,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.0001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020858692975377336,checkpoints/BTC/BTC_lr0.0001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.0001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.1,0.005,0.999,4320,0.95,0.0001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_lr0.0003_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020859519309789656,checkpoints/BTC/BTC_lr0.0003_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.0003_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.2,0.005,0.999,4320,0.95,0.0003,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_lr0.0001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.02085952277852015,checkpoints/BTC/BTC_lr0.0001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.0001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.005,0.999,4320,0.95,0.0001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,0.020859822660124743,checkpoints/BTC/BTC_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.2,0.01,0.999,4320,0.95,0.0001,0.25,20,0.05,4,16,1,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020860407139078704,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.0,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.02086054589721988,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.0,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020861830157508005,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020862260342562264,checkpoints/BTC/BTC_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.1,0.0,0.999,4320,0.95,0.0001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
