asset,scenario_name,target_qty,policy_name,n_episodes,mean_episode_return,mean_steps_used,mean_filled_total,mean_remaining_qty,mean_completion,completion_rate_100pct,mean_true_is_bps,std_true_is_bps,median_true_is_bps,p90_true_is_bps,p95_true_is_bps,p99_true_is_bps,mean_env_cost_bps,std_env_cost_bps
BTC,btc_q10,10.0,TWAP,10,-6.618483990769727e-07,4320.0,10.000000000000004,0.0,1.0000000000000004,1.0,-15.726714197166354,36.38283990102743,-6.397876805508753,18.657633179520452,24.39577548420656,28.98628932795547,0.006618483990769736,0.0010612090506554905
BTC,btc_q10,10.0,BTC_PPO_2,10,-1.7389173611149544e-06,261.8,9.999999999999208,7.920245321788097e-13,0.9999999999999207,1.0,-1.8274851695063845,8.850203576797371,-0.9754901883288336,6.630782200698733,8.956400680027352,10.816895463490257,0.017389173611149535,0.0126895226377724
BTC,btc_q10,10.0,BTC_PPO_1,10,-1.747520767785133e-06,254.2,9.999999999999194,8.032458514850372e-13,0.9999999999999194,1.0,-1.8252873922418291,8.850124523743993,-0.9756561150903098,6.635191199566998,8.965374604041072,10.82952132762034,0.017475207677851327,0.012885702528934614
BTC,btc_q10,10.0,BTC_PPO_3,10,-1.7480056334295897e-06,256.0,9.99999999999921,7.916076821148202e-13,0.9999999999999207,1.0,-1.8214990327593235,8.855637737583859,-0.9760807051441944,6.633972696684703,8.979020044812918,10.855057923315501,0.01748005633429589,0.012715870573297055
BTC,btc_q25,25.0,TWAP,10,-7.22903733297651e-07,4320.0,24.999999999999993,0.0,0.9999999999999997,1.0,-13.374207607695883,61.68907302195151,-2.4016709821498425,35.73268576607039,67.78657595403627,93.42968810440911,0.007229037332976519,0.0008964300835190111
BTC,btc_q25,25.0,BTC_PPO_2,10,-2.039625644454255e-06,649.8,24.999999999999183,8.230951490763823e-13,0.9999999999999674,1.0,-9.857335782077609,14.462397534042,-7.857524321017699,7.8365210465855535,9.57396056406889,10.963912178055567,0.020396256444542564,0.012045885313792888
BTC,btc_q25,25.0,BTC_PPO_1,10,-2.04612579543334e-06,644.6,24.999999999999265,7.415334843449452e-13,0.9999999999999705,1.0,-9.85694548438781,14.458555462324837,-7.8559077430386015,7.835342263534854,9.573280415287213,10.963630936689107,0.02046125795433341,0.01210920730937262
BTC,btc_q25,25.0,BTC_PPO_3,10,-2.052564354678188e-06,646.3,24.999999999999183,8.247604438761936e-13,0.9999999999999671,1.0,-9.855752629806394,14.45949495176236,-7.853879095725465,7.840043494650449,9.575603950693234,10.964052315527468,0.020525643546781897,0.0121691713075154
BTC,btc_q50,50.0,TWAP,10,-1.0627773178561246e-06,4320.0,50.000000000000014,0.0,1.0000000000000002,1.0,-12.924313431781565,36.90975409321159,1.7638372311252286,19.62959676743972,26.51630026999374,32.02566307203698,0.010627773178561246,0.00491784198356304
BTC,btc_q50,50.0,BTC_PPO_2,10,-2.0292171561573846e-06,1294.8,49.99999999999917,8.35317561116009e-13,0.9999999999999831,1.0,-3.6419480651047804,26.782785031364988,1.8078258438887178,21.750241826552013,24.536161357472288,26.764896982208516,0.020292171561573848,0.010838640449509747
BTC,btc_q50,50.0,BTC_PPO_3,10,-2.035923575775621e-06,1284.9,49.99999999999919,8.078963213931048e-13,0.9999999999999837,1.0,-3.6414005265214797,26.782413208989805,1.807624012435447,21.749096872431657,24.535936991561783,26.765409086865898,0.020359235757756215,0.010823427436441524
BTC,btc_q50,50.0,BTC_PPO_1,10,-2.0365192280111984e-06,1281.6,49.99999999999925,7.489710794953073e-13,0.9999999999999851,1.0,-3.638070615050404,26.77448923486538,1.8076538881754696,21.74963565242322,24.535959711992668,26.76501895964824,0.020365192280111993,0.01083460005447831
BTC,btc_q100,100.0,TWAP,10,-2.4263458544136287e-06,4320.0,98.80193051985468,1.1980694801453837,0.9880193051985471,0.8,-79.48343170892382,164.5151404293426,-2.7065150879378086,18.532103149434377,24.331899193456245,28.97173602867376,0.024263458544136245,0.01901893550986212
BTC,btc_q100,100.0,BTC_PPO_2,10,-6.2427424610675654e-06,2548.1,99.99999999999918,8.423153155042376e-13,0.9999999999999917,1.0,-47.80032450384863,97.37857201215394,-0.5149281654908605,15.314974488744975,16.44402125013303,17.347258659243476,0.06242742461067574,0.08925521816279676
BTC,btc_q100,100.0,BTC_PPO_1,10,-6.247990924111574e-06,2539.6,99.99999999999918,8.141147821532533e-13,0.9999999999999918,1.0,-47.7999932057572,97.3779018569055,-0.514982021749682,15.314501928155133,16.444401457869244,17.348321081640538,0.062479909241115836,0.08921151259770035
BTC,btc_q100,100.0,BTC_PPO_3,10,-6.250828354171446e-06,2539.3,99.99999999999919,7.893373382423269e-13,0.999999999999992,1.0,-47.79908145866621,97.37734801083694,-0.5146991445788861,15.314316500637666,16.4441991374312,17.348105246866034,0.06250828354171455,0.08921662639309934
BTC,btc_q200,200.0,TWAP,10,-2.005806122912832e-06,4320.0,160.13175723224282,39.86824276775742,0.800658786161214,0.1,-4.302839431636258,35.7646357914537,-6.309381240753056,37.345322795528425,53.40103780746447,66.24560981701337,0.020058061229128375,0.010084753218079416
BTC,btc_q200,200.0,BTC_PPO_3,10,-2.1820788517187476e-06,4252.1,162.56061771500003,37.439382285000235,0.8128030885750002,0.1,-2.4460705562896705,39.190041474885405,-6.119828312389163,38.88884808150054,61.997277114229455,80.48402034041267,0.021820788517187526,0.012695578654707919
BTC,btc_q200,200.0,BTC_PPO_2,10,-2.1820883723422026e-06,4254.8,162.560617715,37.43938228500028,0.812803088575,0.1,-2.4459862034181783,39.19025086073337,-6.119828312389163,38.88893243437204,61.99774105502266,80.48478795154325,0.021820883723422082,0.012695766193968509
BTC,btc_q200,200.0,BTC_PPO_1,10,-2.181390770620674e-06,4255.6,162.560617715,37.43938228500027,0.812803088575,0.1,-2.4457638457376802,39.19080281388419,-6.119828312389163,38.88915479205254,61.9989640222654,80.48681140643578,0.021813907706206788,0.012682036268794284
