asset,scenario_name,target_qty,policy_name,n_episodes,mean_episode_return,mean_steps_used,mean_filled_total,mean_remaining_qty,mean_completion,completion_rate_100pct,mean_is_bps,std_is_bps,median_is_bps,p90_is_bps,p95_is_bps,p99_is_bps
DOGE,doge_q500000,500000.0,TWAP,100,-6.066399534982893e-05,4320.0,499999.9999999998,-2.842170943040401e-16,0.9999999999999997,1.0,0.6066399534982896,0.13088271927980608,0.5956263888178687,0.7995925984352085,0.8631523200886541,0.8993526839826115
DOGE,doge_q500000,500000.0,DOGE_PPO_1,100,-8.478593074975775e-05,307.22,500000.0,7.540939530594086e-13,1.0,1.0,0.8478593074975777,0.20294921323626144,0.8294109356806146,1.0861328580839391,1.1849347802666546,1.2987843248857835
DOGE,doge_q500000,500000.0,DOGE_PPO_3,100,-8.479367979765033e-05,303.05,500000.0,7.418752565338189e-13,1.0,1.0,0.8479367979765035,0.20294220835034726,0.8294443713412629,1.0848347263487517,1.18534888243266,1.2988017246052068
DOGE,doge_q500000,500000.0,DOGE_PPO_2,100,-8.47980352394479e-05,300.29,500000.0,7.600547118328382e-13,1.0,1.0,0.8479803523944791,0.2029901248557434,0.8292357699395978,1.0853498565848196,1.1848302743153825,1.2989684732261815
DOGE,doge_q1e+06,1000000.0,TWAP,100,-6.39255013791379e-05,4320.0,1000000.0,0.0,1.0,1.0,0.639255013791379,0.15684262264846874,0.6342719989506864,0.8278725575661604,0.9393157450859246,1.0711447254668771
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_1,100,-8.564063404842436e-05,558.68,1000000.0,7.787651221259691e-13,1.0000000000000002,1.0,0.8564063404842445,0.2258106127906539,0.8131739289253693,1.1708708194598079,1.2437610827323509,1.5055815973147473
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_3,100,-8.564711999417879e-05,553.79,1000000.0,7.573029151565897e-13,1.0,1.0,0.8564711999417887,0.22582507027153792,0.8133586138692904,1.17094277644658,1.24369111623465,1.5056984774385511
DOGE,doge_q1e+06,1000000.0,DOGE_PPO_2,100,-8.564746273833538e-05,551.74,1000000.0,7.52773068523765e-13,1.0,1.0,0.8564746273833544,0.22582019703173617,0.8133600461872152,1.1709318791905483,1.243740089535561,1.5056848686922686
DOGE,doge_q3e+06,3000000.0,TWAP,100,-8.139698791469123e-05,4320.0,2992507.0382969608,7492.961703038733,0.997502346098987,0.88,0.8139698791469123,0.22284269590617817,0.7740188784448023,1.1494636443595887,1.2120303852894423,1.283077360545527
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_1,100,-8.786222428879471e-05,1576.32,2999999.9999999986,7.935207654919624e-13,0.9999999999999997,1.0,0.8786222428879453,0.2330184880560933,0.8259750988794199,1.1519824334710163,1.2362500534135528,1.7689237312356503
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_2,100,-8.786438421454009e-05,1569.79,2999999.9999999986,7.715137599417446e-13,0.9999999999999997,1.0,0.8786438421453994,0.23303753370941185,0.8260133186857932,1.1519773161041165,1.236273243751263,1.7693009932272958
DOGE,doge_q3e+06,3000000.0,DOGE_PPO_3,100,-8.786472884046282e-05,1570.38,2999999.9999999986,7.711591320003078e-13,0.9999999999999997,1.0,0.8786472884046266,0.23303561990697264,0.8260027880589838,1.1521512612956286,1.2362935379431856,1.7696097941832922
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_1,100,-8.815943693746548e-05,2953.14,5999999.999999999,7.602060156739523e-13,0.9999999999999999,1.0,0.8815943693746559,0.2216718462014983,0.8581685199646374,1.1003789380185975,1.1706437089366435,1.7571302529365902
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_2,100,-8.815997370848956e-05,2947.86,5999999.999999999,7.430580813951155e-13,0.9999999999999997,1.0,0.8815997370848971,0.22166745063110593,0.8581528861645229,1.10038028443666,1.1706419655948763,1.757128827940573
DOGE,doge_q6e+06,6000000.0,DOGE_PPO_3,100,-8.816028847949354e-05,2947.13,6000000.0,7.724083420675809e-13,1.0,1.0,0.881602884794937,0.22166910225466444,0.858148178843109,1.1003934935674657,1.1706430718718008,1.7571268465722971
DOGE,doge_q6e+06,6000000.0,TWAP,100,-9.783285418421836e-05,4320.0,5764810.18412705,235189.81587294824,0.9608016973545085,0.41,0.9783285418421844,0.2680882019701758,0.9206096216864496,1.3400103396679675,1.4772233401567176,1.6329061053919889
DOGE,doge_q1p2e+07,12000000.0,TWAP,100,-7.576032922837215e-05,4320.0,9169173.031530447,2830826.9684695615,0.7640977526275371,0.01,0.7576032922837203,0.1872162994313209,0.7186572899499837,0.9982644745037966,1.0663227808597966,1.3344567784994128
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_1,100,-7.914665591502423e-05,4318.13,9643637.137099998,2356362.8629000066,0.8036364280916665,0.03,0.7914665591502404,0.17964335053510302,0.7564722288348568,1.0275119747651562,1.1087079693147173,1.263296032355561
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_3,100,-7.914666073810555e-05,4318.11,9643637.137099998,2356362.8629000066,0.8036364280916665,0.03,0.7914666073810537,0.17964346648082208,0.7564722288348568,1.0275119747651562,1.1087079693147173,1.263296032355561
DOGE,doge_q1p2e+07,12000000.0,DOGE_PPO_2,100,-7.914666081190593e-05,4318.12,9643637.137099998,2356362.8629000066,0.8036364280916665,0.03,0.7914666081190572,0.17964346825497457,0.7564722288348568,1.0275119747651562,1.1087079693147173,1.263296032355561
