asset,scenario_name,target_qty,policy_name,n_episodes,mean_episode_return,mean_steps_used,mean_filled_total,mean_remaining_qty,mean_completion,completion_rate_100pct,mean_is_bps,std_is_bps,median_is_bps,p90_is_bps,p95_is_bps,p99_is_bps
BTC,btc_q10,10.0,TWAP,10,-7.041331871566983e-07,4320.0,9.643335959096149,0.3566640409038593,0.9643335959096149,0.6,0.0070413318715669805,0.0014609950242819,0.007138468117391175,0.008240494396027018,0.009349638219112867,0.010236953277581552
BTC,btc_q10,10.0,BTC_PPO_2,10,-1.7389173611149544e-06,261.8,9.999999999999208,7.920245321788097e-13,0.9999999999999207,1.0,0.017389173611149535,0.0126895226377724,0.014933432588568472,0.028370120507007466,0.03859346069916036,0.04677213285288272
BTC,btc_q10,10.0,BTC_PPO_1,10,-1.747520767785133e-06,254.2,9.999999999999194,8.032458514850372e-13,0.9999999999999194,1.0,0.017475207677851327,0.012885702528934614,0.014933432588562218,0.030419181617808582,0.03962488524565458,0.04698944814793141
BTC,btc_q10,10.0,BTC_PPO_3,10,-1.7480056334295897e-06,256.0,9.99999999999921,7.916076821148202e-13,0.9999999999999207,1.0,0.01748005633429589,0.012715870573297055,0.014933432588569998,0.02834066219600761,0.03861462811825372,0.04683380085605065
BTC,btc_q25,25.0,TWAP,10,-9.83579126754737e-07,4320.0,23.157119789883815,1.8428802101161517,0.9262847915953525,0.4,0.009835791267547373,0.003211019288944273,0.0099638693961424,0.012411455723067764,0.014727686634615263,0.01658067136385327
BTC,btc_q25,25.0,BTC_PPO_2,10,-2.039625644454255e-06,649.8,24.999999999999183,8.230951490763823e-13,0.9999999999999674,1.0,0.020396256444542564,0.012045885313792888,0.014801203259318517,0.03157625711475932,0.03907801434285816,0.04507942012533726
BTC,btc_q25,25.0,BTC_PPO_1,10,-2.04612579543334e-06,644.6,24.999999999999265,7.415334843449452e-13,0.9999999999999705,1.0,0.02046125795433341,0.01210920730937262,0.01479369581881513,0.03217889050182737,0.03938228180784889,0.04514499485266613
BTC,btc_q25,25.0,BTC_PPO_3,10,-2.052564354678188e-06,646.3,24.999999999999183,8.247604438761936e-13,0.9999999999999671,1.0,0.020525643546781897,0.0121691713075154,0.014801211418119345,0.032748792053055864,0.03966732470771467,0.04520215083144174
BTC,btc_q50,50.0,TWAP,10,-1.1274710818063601e-06,4320.0,42.578631944965956,7.421368055034023,0.8515726388993192,0.2,0.011274710818063602,0.005479245587641289,0.009804015114801149,0.014362417358493184,0.019857002976275167,0.024252671470500777
BTC,btc_q50,50.0,BTC_PPO_2,10,-2.0292171561573846e-06,1294.8,49.99999999999917,8.35317561116009e-13,0.9999999999999831,1.0,0.020292171561573848,0.010838640449509747,0.017738912413786875,0.037812725203752846,0.03821382991045772,0.03853471367582162
BTC,btc_q50,50.0,BTC_PPO_3,10,-2.035923575775621e-06,1284.9,49.99999999999919,8.078963213931048e-13,0.9999999999999837,1.0,0.020359235757756215,0.010823427436441524,0.018075118830170153,0.03781254811665926,0.038212855931444106,0.03853310218327198
BTC,btc_q50,50.0,BTC_PPO_1,10,-2.0365192280111984e-06,1281.6,49.99999999999925,7.489710794953073e-13,0.9999999999999851,1.0,0.020365192280111993,0.01083460005447831,0.018075118830163397,0.037818504639015614,0.03824561680440279,0.03858730653671253
BTC,btc_q100,100.0,TWAP,10,-1.7721908574996505e-06,4320.0,67.84328925141372,32.15671074858633,0.6784328925141371,0.0,0.017721908574996496,0.019086921674302888,0.0072846936076706795,0.05225823806033276,0.05269734866594188,0.05304863715042919
BTC,btc_q100,100.0,BTC_PPO_2,10,-6.2427424610675654e-06,2548.1,99.99999999999918,8.423153155042376e-13,0.9999999999999917,1.0,0.06242742461067574,0.08925521816279676,0.01917428041813661,0.2268691929165542,0.22932516893927662,0.2312899497574546
BTC,btc_q100,100.0,BTC_PPO_1,10,-6.247990924111574e-06,2539.6,99.99999999999918,8.141147821532533e-13,0.9999999999999918,1.0,0.062479909241115836,0.08921151259770035,0.01933237198805133,0.2268286042390073,0.22930487081562992,0.23128588407692802
BTC,btc_q100,100.0,BTC_PPO_3,10,-6.250828354171446e-06,2539.3,99.99999999999919,7.893373382423269e-13,0.999999999999992,1.0,0.06250828354171455,0.08921662639309934,0.019333368433092295,0.22690813578687874,0.22934468260504703,0.2312939200595817
BTC,btc_q200,200.0,TWAP,10,-1.1403352455881578e-06,4320.0,108.21087515922288,91.78912484077736,0.5410543757961144,0.0,0.011403352455881581,0.007150507841571799,0.009937503971526797,0.0169167236806063,0.02280907996968002,0.027522965000939023
BTC,btc_q200,200.0,BTC_PPO_1,10,-2.181390770620674e-06,4255.6,162.560617715,37.43938228500027,0.812803088575,0.1,0.021813907706206788,0.012682036268794284,0.017607271493293573,0.04097385364671684,0.042616395006622315,0.0439304280945467
BTC,btc_q200,200.0,BTC_PPO_3,10,-2.1820788517187476e-06,4252.1,162.56061771500003,37.439382285000235,0.8128030885750002,0.1,0.021820788517187526,0.012695578654707919,0.017607271493293573,0.04098073445769758,0.04265423946701637,0.0439930434744714
BTC,btc_q200,200.0,BTC_PPO_2,10,-2.1820883723422026e-06,4254.8,162.560617715,37.43938228500028,0.812803088575,0.1,0.021820883723422082,0.012695766193968509,0.017607271493293573,0.040980829663932135,0.04265476310130643,0.043993909851205874
