iter,run_name,symbol,preset,base_ckpt,base_run_name,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,val_n_trials,val_episodes_per_trial,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,target_kl,seed,val_seed,rollout_trials,episodes_per_trial,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
11,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.658220614429855e-09,4320.0,-0.010629525307039903,3.698071546683355e-05,2.3062489563572427e-06,1.0667659373746978,0.0007249732643416523,0.0035972312644675926,0.10239295861522098,0.13506681419832034,0.0002079852115591666,-2.940139095813346e-09,50,4,913.7647969722748,0.12904791247468425,5,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
12,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5330653962996135e-09,4320.0,-0.010840905196447339,4.112519893371629e-05,2.051440202783723e-06,1.0883056369644624,0.000706950183222135,0.0036465115017361113,0.09784841571818106,0.13234378938960364,0.00021403547881966657,-2.9965394069895073e-09,50,4,910.3239040374756,0.12904791247468425,6,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
13,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.559263722671665e-09,4320.0,-0.01109782318019791,-4.226820120594413e-05,1.8209651003076032e-06,1.1056465717791408,0.0007724830927111692,0.004964192708333333,0.09767373474789094,0.1375989407423302,0.0002184036683856666,-3.1497919018215364e-09,50,4,911.7889490127563,0.12904791247468425,7,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
14,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.64774041338943e-09,4320.0,-0.011126431290769553,2.467178492224775e-05,1.832353408411554e-06,1.115201951439182,0.0008027116580234617,0.004312472873263889,0.09943188473493879,0.135749890087868,0.00021761261615216662,-3.112608147760317e-09,50,4,911.9668519496918,0.12904791247468425,8,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
15,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.544887702104521e-09,4320.0,-0.011299974896030983,4.606674075249531e-06,1.8836753896985432e-06,1.130552367038197,0.000761729834482173,0.00407420970775463,0.0995949758186557,0.13482846849163496,0.00020881967638849988,-2.9562341533836815e-09,50,4,910.5597403049469,0.12904791247468425,9,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
16,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5639688500558305e-09,4320.0,-0.011415788915959032,5.2462864227385985e-05,1.6288331359347472e-06,1.1469066462720985,0.0007372337415290531,0.0036390516493055554,0.09760228630006572,0.1351523054564791,0.0002100833078049999,-2.987509482761635e-09,50,4,914.3664608001709,0.12904791247468425,10,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
17,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.7571037081282311e-09,4320.0,-0.011643444984791265,-3.6678307676791317e-06,1.2417328847413454e-06,1.164039827634891,0.0007387168318894476,0.00402538158275463,0.09921020242639955,0.1348046471610734,0.0002157248064291666,-3.046558376627977e-09,50,4,910.898519039154,0.12904791247468425,11,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
18,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5047307704200754e-09,4320.0,-0.011857652912483361,-5.089833907226825e-05,1.1394974143465443e-06,1.1807324578916585,0.0008437813940367454,0.004922598379629629,0.10015605314380352,0.12779618576055005,0.00020504922405933324,-2.7502517313021297e-09,50,4,911.3839309215546,0.12779618576055005,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
19,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6373445591566316e-09,4320.0,-0.011931172426557168,-5.246975812311845e-05,1.2215473669852918e-06,1.1879313704454237,0.0007009225854778412,0.0038352683738425925,0.10101428351513783,0.12931925178133905,0.00020855426891133323,-2.839784872145192e-09,50,4,911.2542200088501,0.12779618576055005,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
20,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6188811163549636e-09,4320.0,-0.012058295983512868,-5.744355967854736e-05,1.0016121458291508e-06,1.2001353487234425,0.0007574620074862011,0.004802562572337963,0.10095532619118415,0.13386204236714241,0.00021274613138166657,-3.0295619298760124e-09,50,4,910.98118019104,0.12779618576055005,2,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
21,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6107662884418225e-09,4320.0,-0.012167898115768804,-1.732669669662654e-05,9.203882213482117e-07,1.215103187136076,0.0006596467445719841,0.003917778862847222,0.10106758755045357,0.13639673402590885,0.0002114550403696666,-3.040716551440239e-09,50,4,911.1916260719299,0.12779618576055005,3,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
22,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6017136202108105e-09,4320.0,-0.012358111958073332,-0.00012572831846800574,9.765466055865767e-07,1.2232872179536909,0.0008528730108217267,0.00533763744212963,0.10300697442683115,0.12974263802540592,0.0002100090992121666,-2.853058480694388e-09,50,4,914.1313719749451,0.12779618576055005,4,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
23,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6037861538558672e-09,4320.0,-0.012432361370560505,-5.6174355557703635e-05,7.739014359633258e-07,1.2376574223654138,0.0007703130343374883,0.0043294270833333336,0.10305801281205344,0.13367012094186825,0.00020081191000849996,-2.7892766785849647e-09,50,4,917.7737910747528,0.12779618576055005,5,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
24,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5285500306152724e-09,4320.0,-0.012571423835685925,-0.0001016904532123051,9.88792910418514e-07,1.2470228053905346,0.0006994607356183998,0.003574173538773148,0.10693880189619787,0.13295807894805592,0.00021267709063849992,-2.9909708195844203e-09,50,4,913.3066370487213,0.12779618576055005,6,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
25,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6293550019229276e-09,4320.0,-0.012705267746059689,-0.0001283713355574205,9.754067918789612e-07,1.2577384404010243,0.000973624629248796,0.005976924189814815,0.10632808209198562,0.13400368159423484,0.00020858988810366663,-2.944543700238599e-09,50,4,909.3350780010223,0.12779618576055005,7,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
26,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5521329875462564e-09,4320.0,-0.012820281181753941,-0.00014255982048915164,9.58941332504412e-07,1.2678201132212523,0.0008445874335545038,0.005199969256365741,0.11528328041011399,0.12826987001377857,0.00020794831361966665,-2.819809318310292e-09,50,4,913.9399390220642,0.12779618576055005,8,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
